Gene Symbol;Entrez ID;Ensembl ID;Core AutophagyNet;AutophagyNet;HADB;HAMdb;GO-0061919
ABCF3;55324;ENSG00000161204;0;1;0;0;0
ABHD10;55347;ENSG00000144827;0;1;0;0;0
ABHD5;51099;ENSG00000011198;0;0;0;1;0
ABI2;10152;ENSG00000138443;0;0;0;0;1
ABL1;25;ENSG00000097007;0;0;0;1;0
ABL2;27;ENSG00000143322;0;0;1;1;0
ABTB2;25841;ENSG00000166016;0;1;0;0;0
ACACA;31;ENSG00000278540;0;1;0;0;0
ACBD5;91452;ENSG00000107897;0;0;0;1;1
ACBD6;100527964;ENSG00000230124;0;1;0;0;0
ACOT4;122970;ENSG00000177465;0;1;0;0;0
ADAMTS12;81792;ENSG00000151388;0;1;0;0;0
ADAMTSL4;54507;ENSG00000143382;0;1;0;0;0
ADRB2;154;ENSG00000169252;0;1;0;0;0
AGAP1;116987;ENSG00000157985;0;1;0;0;0
AGPS;8540;ENSG00000018510;0;1;0;0;0
AGR2;10551;ENSG00000106541;0;1;0;0;0
AJUBA;84962;ENSG00000129474;0;1;0;0;0
AKAP1;8165;ENSG00000121057;0;1;0;0;0
AKAP13;11214;ENSG00000170776;0;1;0;0;0
AKT1;207;ENSG00000142208;0;1;1;1;0
AKT2;208;ENSG00000105221;0;0;0;1;0
AKT3;10000;ENSG00000117020;0;0;0;1;0
ALDH1A3;220;ENSG00000184254;0;0;1;0;0
ALDH1B1;219;ENSG00000137124;0;1;0;0;0
AMBRA1;55626;ENSG00000110497;1;1;1;0;1
AMFR;267;ENSG00000159461;0;0;0;1;0
AMOT;154796;ENSG00000126016;0;1;0;0;0
ANGPTL8;55908;ENSG00000130173;0;1;0;0;0
ANK2;287;ENSG00000145362;0;1;0;0;0
ANK3;288;ENSG00000151150;0;1;0;0;0
ANKRD10;55608;ENSG00000088448;0;1;0;0;0
ANKRD39;51239;ENSG00000213337;0;1;0;0;0
ANKRD9;122416;ENSG00000156381;0;1;0;0;0
ANKS3;124401;ENSG00000168096;0;1;0;0;0
ANLN;54443;ENSG00000011426;0;1;0;0;0
ANXA7;310;ENSG00000138279;0;0;1;1;1
AP1G2;8906;ENSG00000213983;0;1;0;0;0
AP1M1;8907;ENSG00000072958;0;1;0;0;0
AP2B1;163;ENSG00000006125;0;1;0;0;0
AP2M1;1173;ENSG00000161203;0;1;0;0;0
AP4M1;9179;ENSG00000221838;0;0;0;0;1
APEX1;328;ENSG00000100823;0;1;0;0;0
APLNR;187;ENSG00000134817;0;1;0;0;0
APOL1;8542;ENSG00000100342;0;0;1;1;0
APOL6;80830;ENSG00000221963;0;0;0;1;0
APP;351;ENSG00000142192;0;1;0;1;0
AR;367;ENSG00000169083;0;1;0;0;0
ARAF;369;ENSG00000078061;0;1;0;0;0
ARF6;382;ENSG00000165527;0;1;0;1;0
ARFIP2;23647;ENSG00000132254;0;0;0;0;1
ARFRP1;10139;ENSG00000101246;0;1;0;0;0
ARHGAP25;9938;ENSG00000163219;0;1;0;0;0
ARHGAP26;23092;ENSG00000145819;0;0;0;0;1
ARL6IP1;23204;ENSG00000170540;0;1;0;0;0
ARL8B;55207;ENSG00000134108;0;0;0;0;1
ARNT;405;ENSG00000143437;0;0;1;0;0
ARSA;410;ENSG00000100299;0;0;1;0;0
ARSB;411;ENSG00000113273;0;0;1;0;0
ARSK;153642;ENSG00000164291;0;1;0;0;0
ASB8;140461;ENSG00000177981;0;1;0;0;0
ASIC1;41;ENSG00000110881;0;0;1;0;0
ASPH;444;ENSG00000198363;0;1;0;0;0
ATAD3A;55210;ENSG00000197785;0;1;0;0;0
ATE1;11101;ENSG00000107669;0;0;0;0;1
ATF4;468;ENSG00000128272;0;1;1;0;0
ATF6;22926;ENSG00000118217;0;0;1;0;0
ATG10;83734;ENSG00000152348;1;1;1;1;1
ATG101;60673;ENSG00000123395;1;1;1;0;1
ATG12;9140;ENSG00000145782;1;1;1;0;1
ATG12P1;100151642;ENSG00000266501;0;0;1;0;0
ATG13;9776;ENSG00000175224;1;1;1;0;1
ATG14;22863;ENSG00000126775;1;1;1;1;1
ATG16L1;55054;ENSG00000085978;1;1;1;1;1
ATG16L2;89849;ENSG00000168010;1;1;1;0;0
ATG2A;23130;ENSG00000110046;1;1;1;1;1
ATG2B;55102;ENSG00000066739;1;1;1;1;0
ATG3;64422;ENSG00000144848;1;1;1;0;1
ATG3P1;100135756;ENSG00000224357;0;0;1;0;0
ATG4A;115201;ENSG00000101844;1;1;1;0;1
ATG4B;23192;ENSG00000168397;1;1;1;1;1
ATG4C;84938;ENSG00000125703;0;1;1;1;1
ATG4D;84971;ENSG00000130734;0;1;1;0;1
ATG5;9474;ENSG00000057663;1;1;1;1;1
ATG7;10533;ENSG00000197548;1;1;1;1;1
ATG9A;79065;ENSG00000198925;0;1;1;1;1
ATG9B;285973;ENSG00000181652;0;0;1;1;1
ATIC;471;ENSG00000138363;0;0;1;0;0
ATM;472;ENSG00000149311;0;0;0;1;1
ATP13A2;23400;ENSG00000159363;0;0;1;0;1
ATP1A1;476;ENSG00000163399;0;1;0;0;0
ATP2A2;488;ENSG00000174437;0;0;0;0;1
ATP2A3;489;ENSG00000074370;0;1;0;0;0
ATP2B2;491;ENSG00000157087;0;1;0;0;0
ATP6V0C;527;ENSG00000185883;0;0;1;0;0
ATXN1;6310;ENSG00000124788;0;1;0;0;0
ATXN3;4287;ENSG00000066427;0;1;0;0;0
ATXN7L1;222255;ENSG00000146776;0;1;0;0;0
AUP1;550;ENSG00000115307;0;0;0;0;1
AURKA;6790;ENSG00000087586;0;1;1;1;0
AURKB;9212;ENSG00000178999;0;1;0;0;0
AVEN;57099;ENSG00000169857;0;1;0;0;0
AXIN1;8312;ENSG00000103126;0;1;0;0;0
AZI2;64343;ENSG00000163512;0;1;0;0;0
B3GAT1;27087;ENSG00000109956;0;1;0;0;0
B4GALT5;9334;ENSG00000158470;0;1;0;0;0
BABAM2;9577;ENSG00000158019;0;1;0;0;0
BAD;572;ENSG00000002330;0;1;0;1;0
BAG1;573;ENSG00000107262;0;1;1;0;0
BAG2;9532;ENSG00000112208;0;1;0;0;0
BAG3;9531;ENSG00000151929;0;1;1;0;0
BAG5;9529;ENSG00000166170;0;1;0;0;0
BAG6;7917;ENSG00000204463;0;1;0;0;0
BAIAP2;10458;ENSG00000175866;0;0;0;1;0
BAK1;578;ENSG00000030110;0;1;1;0;0
BANCR;100885775;ENSG00000278910;0;0;1;0;0
BAP1;8314;ENSG00000163930;0;1;0;0;0
BAP18;124944;ENSG00000258315;0;1;0;0;0
BAX;581;ENSG00000087088;0;1;1;1;0
BBC3;27113;ENSG00000105327;0;1;0;1;0
BBS7;55212;ENSG00000138686;0;1;0;0;0
BCAP31;10134;ENSG00000185825;0;1;0;0;0
BCAR1;9564;ENSG00000050820;0;1;0;0;0
BCAS3;54828;ENSG00000141376;0;0;1;0;0
BCAS4;55653;ENSG00000124243;0;1;0;0;0
BCL10;8915;ENSG00000142867;0;1;0;0;0
BCL2;596;ENSG00000171791;0;1;1;1;0
BCL2L1;598;ENSG00000171552;0;1;1;1;0
BCL2L10;10017;ENSG00000137875;0;1;0;0;0
BCL2L11;10018;ENSG00000153094;0;1;0;1;0
BCL2L12;83596;ENSG00000126453;0;1;0;0;0
BCOR;54880;ENSG00000183337;0;1;0;0;0
BDNF;627;ENSG00000176697;0;0;1;0;0
BECN1;8678;ENSG00000126581;1;1;1;1;1
BECN2;441925;ENSG00000196289;0;1;1;0;1
BFAR;51283;ENSG00000103429;0;1;0;0;0
BICD2;23299;ENSG00000185963;0;1;0;0;0
BID;637;ENSG00000015475;0;1;0;0;0
BIK;638;ENSG00000100290;0;1;0;0;0
BIN1;274;ENSG00000136717;0;1;0;0;0
BIRC2;329;ENSG00000110330;0;1;0;1;0
BIRC3;330;ENSG00000023445;0;1;0;0;0
BIRC5;332;ENSG00000089685;0;1;1;1;0
BIRC6;57448;ENSG00000115760;0;1;0;1;0
BLID;414899;ENSG00000259571;0;1;0;0;0
BLK;640;ENSG00000136573;0;1;0;0;0
BLVRA;644;ENSG00000106605;0;1;0;0;0
BMF;90427;ENSG00000104081;0;1;0;0;0
BNIP1;662;ENSG00000113734;0;1;1;0;0
BNIP2;663;ENSG00000140299;0;1;0;0;0
BNIP3;664;ENSG00000176171;0;1;1;1;1
BNIP3L;665;ENSG00000104765;0;1;1;1;0
BNIPL;149428;ENSG00000163141;0;1;0;0;0
BOD1;91272;ENSG00000145919;0;1;0;0;0
BOD1L2;284257;ENSG00000228075;0;1;0;0;0
BOK;666;ENSG00000176720;0;0;1;1;0
BORCS6;54785;ENSG00000196544;0;1;0;0;0
BRCA1;672;ENSG00000012048;0;1;0;0;0
BRD1;23774;ENSG00000100425;0;1;0;0;0
BRD4;23476;ENSG00000141867;0;1;0;0;0
BRINP3;339479;ENSG00000162670;0;1;0;0;0
BRK1;55845;ENSG00000254999;0;1;0;0;0
BSN;8927;ENSG00000164061;0;1;1;0;0
BST2;684;ENSG00000130303;0;0;0;1;0
BTF3;689;ENSG00000145741;0;1;0;0;0
BTK;695;ENSG00000010671;0;1;0;0;0
BTRC;8945;ENSG00000166167;0;0;0;0;1
C19orf12;83636;ENSG00000131943;0;0;1;1;1
C1ORF216;127703;ENSG00000142686;0;1;0;0;0
C1QTNF1;114897;ENSG00000173918;0;1;0;0;0
C1QTNF6;114904;ENSG00000133466;0;1;0;0;0
C2ORF73;129852;ENSG00000177994;0;1;0;0;0
C3;718;ENSG00000125730;0;1;0;0;0
C6ORF141;135398;ENSG00000197261;0;1;0;0;0
C9ORF78;51759;ENSG00000136819;0;1;0;0;0
C9orf72;203228;ENSG00000147894;0;1;1;1;1
CACNA1B;774;ENSG00000148408;0;1;0;0;0
CADPS;8618;ENSG00000163618;0;1;0;0;0
CALCOCO1;57658;ENSG00000012822;0;1;0;0;0
CALCOCO2;10241;ENSG00000136436;0;1;1;1;1
CALCR;799;ENSG00000004948;0;1;0;0;0
CALM1;805;ENSG00000143933;0;0;0;0;1
CALR;811;ENSG00000179218;0;1;0;0;0
CAMK2A;815;ENSG00000070808;0;0;1;0;0
CAMK2G;818;ENSG00000148660;0;1;0;0;0
CAMKK2;10645;ENSG00000110931;0;1;1;0;0
CAMKMT;79823;ENSG00000143919;0;1;0;0;0
CAMP;820;ENSG00000164047;0;0;0;1;0
CANX;821;ENSG00000127022;0;0;1;0;0
CAPN1;823;ENSG00000014216;0;1;1;1;0
CAPN10;11132;ENSG00000142330;0;0;1;0;0
CAPN2;824;ENSG00000162909;0;1;1;0;0
CAPN3;825;ENSG00000092529;0;1;0;0;0
CAPNS1;826;ENSG00000126247;0;0;1;1;0
CAPZB;832;ENSG00000077549;0;1;0;0;0
CASP1;834;ENSG00000137752;0;0;1;0;0
CASP2;835;ENSG00000106144;0;1;0;0;0
CASP3;836;ENSG00000164305;0;1;1;0;0
CASP4;837;ENSG00000196954;0;0;1;0;0
CASP8;841;ENSG00000064012;0;1;1;0;0
CASP9;842;ENSG00000132906;0;1;0;0;0
CAT;847;ENSG00000121691;0;0;0;1;0
CATSPER4;378807;ENSG00000188782;0;0;0;1;0
CAV1;857;ENSG00000105974;0;1;0;0;0
CBFB;865;ENSG00000067955;0;1;0;0;0
CBX6;23466;ENSG00000183741;0;1;0;0;0
CCDC12;151903;ENSG00000160799;0;1;0;0;0
CCDC120;90060;ENSG00000147144;0;1;0;0;0
CCDC50;152137;ENSG00000152492;0;1;0;0;0
CCDC68;80323;ENSG00000166510;0;1;0;0;0
CCDC71;64925;ENSG00000177352;0;1;0;0;0
CCDC8;83987;ENSG00000169515;0;1;0;0;0
CCDC88C;440193;ENSG00000015133;0;1;0;0;0
CCDC96;257236;ENSG00000173013;0;1;0;0;0
CCL2;6347;ENSG00000108691;0;0;1;0;0
CCNB1;891;ENSG00000134057;0;1;0;0;0
CCND1;595;ENSG00000110092;0;1;0;1;0
CCNF;899;ENSG00000162063;0;1;0;0;0
CCNY;219771;ENSG00000108100;0;0;1;0;0
CCR2;729230;ENSG00000121807;0;0;1;0;0
CCT2;10576;ENSG00000166226;0;1;0;0;0
CD44;960;ENSG00000026508;0;1;0;0;0
CD96;10225;ENSG00000153283;0;1;0;0;0
CDC37;11140;ENSG00000105401;0;1;0;0;0
CDC6;990;ENSG00000094804;0;1;0;0;0
CDH1;999;ENSG00000039068;0;1;0;0;0
CDK1;983;ENSG00000170312;0;1;0;0;0
CDK19;23097;ENSG00000155111;0;1;0;0;0
CDK2;1017;ENSG00000123374;0;1;0;0;0
CDK5;1020;ENSG00000164885;0;1;1;0;0
CDK9;1025;ENSG00000136807;0;1;0;0;0
CDKL3;51265;ENSG00000006837;0;1;0;0;0
CDKN1A;1026;ENSG00000124762;0;0;1;0;0
CDKN1B;1027;ENSG00000111276;0;0;1;1;0
CDKN2A;1029;ENSG00000147889;0;1;1;1;1
CDKN2B-AS1;100048912;ENSG00000240498;0;0;1;0;0
CDKN2D;1032;ENSG00000129355;0;0;0;1;0
CELA2A;63036;ENSG00000142615;0;1;0;0;0
CENPQ;55166;ENSG00000031691;0;1;0;0;0
CEP135;9662;ENSG00000174799;0;1;0;0;0
CEP43;11116;ENSG00000213066;0;1;0;0;0
CEP55;55165;ENSG00000138180;0;1;0;0;0
CEP89;84902;ENSG00000121289;0;1;0;0;0
CERCAM;51148;ENSG00000167123;0;1;0;0;0
CFAP68;64776;ENSG00000137720;0;1;0;0;0
CFLAR;8837;ENSG00000003402;0;1;0;0;0
CFTR;1080;ENSG00000001626;0;1;0;0;0
CGAS;115004;ENSG00000164430;0;1;0;0;0
CHAF1A;10036;ENSG00000167670;0;1;0;0;0
CHDH;55349;ENSG00000016391;0;1;0;0;0
CHEK1;1111;ENSG00000149554;0;0;0;1;0
CHEK2;11200;ENSG00000183765;0;0;0;0;1
CHMP1A;5119;ENSG00000131165;0;0;0;0;1
CHMP1B;57132;ENSG00000255112;0;0;0;0;1
CHMP2A;27243;ENSG00000130724;0;0;1;1;1
CHMP2B;25978;ENSG00000083937;0;0;1;1;1
CHMP3;51652;ENSG00000115561;0;0;0;1;1
CHMP4A;29082;ENSG00000254505;0;0;0;1;1
CHMP4B;128866;ENSG00000101421;0;1;1;1;1
CHMP4C;92421;ENSG00000164695;0;0;0;1;1
CHMP5;51510;ENSG00000086065;0;0;0;0;1
CHMP6;79643;ENSG00000176108;0;0;0;1;1
CHMP7;91782;ENSG00000147457;0;0;0;0;1
CHRNA4;1137;ENSG00000101204;0;1;0;0;0
CHRNB4;1143;ENSG00000117971;0;1;0;0;0
CHRND;1144;ENSG00000135902;0;1;0;1;0
CHUK;1147;ENSG00000213341;0;1;0;1;0
CIB4;130106;ENSG00000157884;0;1;0;0;0
CIC;23152;ENSG00000079432;0;1;0;0;0
CISD1;55847;ENSG00000122873;0;0;0;1;0
CISD2;493856;ENSG00000145354;0;1;1;1;0
CISH;1154;ENSG00000114737;0;1;0;0;0
CIT;11113;ENSG00000122966;0;1;0;0;0
CLEC16A;23274;ENSG00000038532;0;0;1;0;1
CLINT1;9685;ENSG00000113282;0;1;0;0;0
CLN3;1201;ENSG00000188603;0;1;1;0;0
CLN8;2055;ENSG00000182372;0;1;0;0;0
CLNK;116449;ENSG00000109684;0;1;0;0;0
CLOCK;9575;ENSG00000134852;0;0;1;0;0
CLPTM1L;81037;ENSG00000049656;0;1;0;0;0
CLTB;1212;ENSG00000175416;0;1;0;0;0
CLTC;1213;ENSG00000141367;0;0;0;1;0
CLU;1191;ENSG00000120885;0;1;1;0;1
CNOT2;4848;ENSG00000111596;0;1;0;0;0
CNOT9;9125;ENSG00000144580;0;1;0;0;0
CNR2;1269;ENSG00000188822;0;1;0;0;0
CNTRL;11064;ENSG00000119397;0;1;0;0;0
COLEC12;81035;ENSG00000158270;0;1;0;0;0
COP1;64326;ENSG00000143207;0;1;0;0;0
COPS3;8533;ENSG00000141030;0;1;0;0;0
COPS5;10987;ENSG00000121022;0;1;0;0;0
COPZ1;22818;ENSG00000111481;0;0;0;1;0
COX5A;9377;ENSG00000178741;0;0;0;1;0
CPEB2;132864;ENSG00000137449;0;1;0;0;0
CRBN;51185;ENSG00000113851;0;1;0;0;0
CREB1;1385;ENSG00000118260;0;1;0;0;0
CREBBP;1387;ENSG00000005339;0;1;0;0;0
CRHBP;1393;ENSG00000145708;0;1;0;0;0
CRX;1406;ENSG00000105392;0;1;0;0;0
CRYAB;1410;ENSG00000109846;0;1;0;0;0
CRYBG3;131544;ENSG00000080200;0;1;0;0;0
CSNK1A1;1452;ENSG00000113712;0;1;0;0;1
CSNK1D;1453;ENSG00000141551;0;1;0;0;0
CSNK1G2;1455;ENSG00000133275;0;1;0;0;0
CSNK2A1;1457;ENSG00000101266;0;1;0;0;1
CSNK2A2;1459;ENSG00000070770;0;1;0;0;0
CSNK2B;1460;ENSG00000204435;0;1;0;0;0
CST11;140880;ENSG00000125831;0;1;0;0;0
CST8;10047;ENSG00000125815;0;1;0;0;0
CTCFL;140690;ENSG00000124092;0;1;0;0;0
CTNNB1;1499;ENSG00000168036;0;1;0;1;0
CTSB;1508;ENSG00000164733;0;0;1;0;0
CTSD;1509;ENSG00000117984;0;0;1;0;0
CTSK;1513;ENSG00000143387;0;0;0;0;1
CTSL;1514;ENSG00000135047;0;0;0;1;0
CUL1;8454;ENSG00000055130;0;1;0;0;1
CUL2;8453;ENSG00000108094;0;1;0;0;0
CUL3;8452;ENSG00000036257;0;1;0;0;0
CUL4A;8451;ENSG00000139842;0;1;0;0;0
CUL4B;8450;ENSG00000158290;0;1;0;0;0
CUL7;9820;ENSG00000044090;0;1;0;0;0
CXCL12;6387;ENSG00000107562;0;0;0;1;0
CXCR3;2833;ENSG00000186810;0;0;0;1;0
CXCR4;7852;ENSG00000121966;0;0;1;0;0
CYB5A;1528;ENSG00000166347;0;0;0;1;0
CYLD;1540;ENSG00000083799;0;1;0;0;0
CYP19A1;1588;ENSG00000137869;0;1;0;0;0
CYSRT1;375791;ENSG00000197191;0;1;0;0;0
DAB2IP;153090;ENSG00000136848;0;0;1;0;0
DACT1;51339;ENSG00000165617;0;1;0;0;0
DAP;1611;ENSG00000112977;0;0;1;1;0
DAP3;7818;ENSG00000132676;0;0;0;1;0
DAPK1;1612;ENSG00000196730;0;1;1;1;0
DAPK2;23604;ENSG00000035664;0;1;1;1;0
DAPK3;1613;ENSG00000167657;0;0;1;1;0
DAXX;113523636;ENSG00000204209;0;1;0;0;0
DAZAP2;9802;ENSG00000183283;0;1;0;0;0
DBNL;28988;ENSG00000136279;0;1;0;0;0
DCAF1;9730;ENSG00000145041;0;1;0;0;0
DCAF15;90379;ENSG00000132017;0;1;0;0;0
DCAF4;26094;ENSG00000119599;0;1;0;0;0
DCAF7;10238;ENSG00000136485;0;1;0;0;0
DCN;1634;ENSG00000011465;0;0;1;1;0
DCP2;167227;ENSG00000172795;0;1;0;0;0
DCTN1;1639;ENSG00000204843;0;1;0;0;0
DDA1;79016;ENSG00000130311;0;1;0;0;0
DDB1;1642;ENSG00000167986;0;1;0;0;0
DDIT3;1649;ENSG00000175197;0;1;1;0;0
DDRGK1;65992;ENSG00000198171;0;0;0;0;1
DDX19B;11269;ENSG00000157349;0;1;0;0;0
DDX39A;10212;ENSG00000123136;0;1;0;0;0
DDX5;1655;ENSG00000108654;0;1;0;0;0
DDX6;1656;ENSG00000110367;0;1;0;0;0
DEDD2;162989;ENSG00000160570;0;1;0;0;0
DEF8;54849;ENSG00000140995;0;1;0;0;0
DEFB118;117285;ENSG00000131068;0;1;0;0;0
DELE1;9812;ENSG00000081791;0;0;0;0;1
DENND3;22898;ENSG00000105339;0;0;1;0;0
DENR;8562;ENSG00000139726;0;1;0;0;0
DEPP1;11067;ENSG00000165507;0;0;1;0;0
DEPTOR;64798;ENSG00000155792;0;0;0;1;1
DICER1;23405;ENSG00000100697;0;0;0;1;0
DIRAS3;9077;ENSG00000162595;0;1;1;0;0
DIXDC1;85458;ENSG00000150764;0;1;0;0;0
DLD;1738;ENSG00000091140;0;1;0;0;0
DLG3;1741;ENSG00000082458;0;1;0;0;0
DLST;1743;ENSG00000119689;0;1;0;0;0
DLX6;1750;ENSG00000006377;0;1;0;0;0
DNAAF4;161582;ENSG00000256061;0;1;0;0;0
DNAI1;27019;ENSG00000122735;0;1;0;0;0
DNAJA3;9093;ENSG00000103423;0;0;0;1;0
DNAJB1;3337;ENSG00000132002;0;1;1;0;0
DNAJB9;4189;ENSG00000128590;0;0;1;0;0
DNAJC10;54431;ENSG00000077232;0;1;0;0;0
DNAJC16;23341;ENSG00000116138;0;0;0;0;1
DNAJC7;7266;ENSG00000168259;0;1;0;0;0
DNASE2B;58511;ENSG00000137976;0;1;0;0;0
DNM1L;10059;ENSG00000087470;0;0;1;1;0
DNM2;1785;ENSG00000079805;0;0;0;0;1
DOCK1;1793;ENSG00000150760;0;1;0;0;0
DOCK5;80005;ENSG00000147459;0;1;0;0;0
DOCK9;23348;ENSG00000088387;0;1;0;0;0
DPPA4;55211;ENSG00000121570;0;1;0;0;0
DQX1;165545;ENSG00000144045;0;1;0;0;0
DRAM1;55332;ENSG00000136048;0;0;1;1;0
DRAM2;128338;ENSG00000156171;0;0;1;1;0
DRD3;1814;ENSG00000151577;0;0;1;0;0
DTNB;1838;ENSG00000138101;0;1;0;0;0
DUSP14;11072;ENSG00000276023;0;1;0;0;0
DUSP16;80824;ENSG00000111266;0;1;0;0;0
DUSP26;78986;ENSG00000133878;0;1;0;0;0
DUSP29;338599;ENSG00000188716;0;1;0;0;0
DUSP4;1846;ENSG00000120875;0;1;0;0;0
DVL2;1856;ENSG00000004975;0;1;0;0;0
DYNC1I1;1780;ENSG00000158560;0;1;0;0;0
DYNC1LI2;1783;ENSG00000135720;0;1;0;0;0
DYNLL1;8655;ENSG00000088986;0;1;0;0;0
DYNLL2;140735;ENSG00000264364;0;1;0;0;0
DYNLT1;6993;ENSG00000146425;0;0;1;0;0
DYRK1A;1859;ENSG00000157540;0;1;0;0;0
DYRK2;8445;ENSG00000127334;0;1;0;0;0
E2F1;1869;ENSG00000101412;0;1;0;1;0
ECT2;1894;ENSG00000114346;0;1;0;0;0
EDDM3B;64184;ENSG00000181552;0;1;0;0;0
EDEM1;9695;ENSG00000134109;0;1;1;0;0
EEF1AKMT3;25895;ENSG00000123427;0;1;0;0;0
EEF1D;1936;ENSG00000104529;0;1;0;0;0
EEF1G;1937;ENSG00000254772;0;1;0;0;0
EEF2;1938;ENSG00000167658;0;0;0;1;0
EEF2K;29904;ENSG00000103319;0;0;1;1;0
